drug_1,drug_2,similarity
RACLOPRIDE,ETICLOPRIDE,0.8491
ANGIOTENSIN II,TRV-120027,0.785
ANGIOTENSIN II,ANGIOTENSIN II ACETATE,0.9796
ANGIOTENSIN II,SARALASIN,0.729
ANGIOTENSIN II,TRV026,0.7048
ANGIOTENSIN II,ANGIOTENSIN-(1-7),0.8687
ANGIOTENSIN II,ANGIOTENSIN IV,0.76
ANGIOTENSIN II,ACLERASTIDE,0.8137
ANGIOTENSIN II,SARALASIN ACETATE,0.7091
ANGIOTENSIN II,ANGIOTENSIN A,0.9192
ANGIOTENSIN II,ANGIOTENSIN III,0.9286
ANGIOTENSIN II,SOR-C13,0.7009
ANGIOTENSIN II,TXA127,0.8687
NERATINIB,NERATINIB MALEATE,0.9512
NERATINIB,PYROTINIB,0.7263
NERATINIB,PELITINIB,0.75
IMATINIB,MASITINIB,0.7467
IMATINIB,RISVODETINIB,0.7792
PLATINUM,PLATINUM COMPOUND,1.0
OXYTETRACYCLINE ANHYDROUS,OXYTETRACYCLINE HYDROCHLORIDE,0.9821
OXYTETRACYCLINE ANHYDROUS,OXYTETRACYCLINE CALCIUM,0.8525
DIBUCAINE,DIBUCAINE HYDROCHLORIDE,0.9796
NINTEDANIB ESYLATE,VARGATEF,0.9155
NINTEDANIB ESYLATE,BIBF-1202,0.7945
DIPIVEFRIN HYDROCHLORIDE,DIPIVEFRIN,0.973
VERNAKALANT HYDROCHLORIDE,VERNAKALANT,0.9787
TAMOXIFEN,TOREMIFENE,0.7381
TAMOXIFEN,TAMOXIFEN CITRATE,0.7447
TAMOXIFEN,DROLOXIFENE,0.814
TAMOXIFEN,AFIMOXIFENE,0.8974
TETRABENAZINE,DEUTETRABENAZINE,1.0
TETRABENAZINE,DUTETRABENAZINE,1.0
NOSCAPINE,"1R,9S-HYDRASTINE",0.7667
NOSCAPINE,HYDRASTINE,0.7667
REMOXIPRIDE,REMOXIPRIDE HYDROCHLORIDE,0.9792
NEUROPEPTIDE B-29,NEUROPEPTIDE B-23,1.0
NEUROPEPTIDE B-29,NEUROPEPTIDE W-30,1.0
NEUROPEPTIDE B-29,NEUROPEPTIDE Y-(3-36),1.0
NEUROPEPTIDE B-29,NEUROPEPTIDE W-23,1.0
NEUROPEPTIDE B-29,NEUROPEPTIDE K,1.0
NEUROPEPTIDE B-29,NEUROPEPTIDE HEAD ACTIVATOR,1.0
AMLODIPINE BESYLATE,AMLODIPINE BENZOATE,0.8387
AMLODIPINE BESYLATE,AMLODIPINE MALEATE,0.8095
AMLODIPINE BESYLATE,LEVAMLODIPINE MALEATE,0.8095
THEONELLASTEROL E,CONICASTEROL D,0.8036
THEONELLASTEROL E,THEONELLASTEROL D,0.7541
BAZEDOXIFENE,BAZEDOXIFENE ACETATE,0.9107
TOZASERTIB,TOZASERTIB LACTATE,0.8955
CYC-116,CYC116,1.0
S-NITROSOGLUTATHIONE,OXIGLUTATIONE,0.7674
S-NITROSOGLUTATHIONE,GLUTATHIONE DISULFIDE,0.7674
VASOPRESSIN TANNATE,ARGIPRESSIN,0.7419
VASOPRESSIN TANNATE,ARGIPRESSIN TANNATE,0.7419
PITAVASTATIN MAGNESIUM,PITAVASTATIN CALCIUM,0.9661
PITAVASTATIN MAGNESIUM,PITAVASTATIN SODIUM,0.9661
PITAVASTATIN MAGNESIUM,PITAVASTATIN,0.8525
CARBETAPENTANE CITRATE,CARBETAPENTANE,0.8039
BMS-599626,PAN-HER KINASE INHIBITOR AC480,1.0
ENMD-2076,ENMD-981693,1.0
PICROTOXIN,PICROTOXININ,0.84
PICROTOXIN,PICROTIN,0.82
BCG VACCINE,BROMOCRESOL GREEN,1.0
CORTICOTROPIN-RELEASING FACTOR,EXENATIDE,0.7688
CORTICOTROPIN-RELEASING FACTOR,PEPTIDE YY (3-36),0.72
CORTICOTROPIN-RELEASING FACTOR,AUNP-12,0.7574
CORTICOTROPIN-RELEASING FACTOR,[PRO34]NPY,0.7
CORTICOTROPIN-RELEASING FACTOR,PEPTIDE YY HUMAN (3-36),0.72
CORTICOTROPIN-RELEASING FACTOR,"[ALA11,22,28]VIP",0.7482
CORTICOTROPIN-RELEASING FACTOR,EXENDIN-3,0.7117
CORTICOTROPIN-RELEASING FACTOR,LIXISENATIDE,0.7688
CORTICOTROPIN-RELEASING FACTOR,[125I]CT (HUMAN),0.7179
CORTICOTROPIN-RELEASING FACTOR,UROCORTIN 3,0.8
CORTICOTROPIN-RELEASING FACTOR,"[125I]UROCORTIN 1 (MOUSE, RAT)",0.7343
CORTICOTROPIN-RELEASING FACTOR,KBP-088,0.7303
SELUMETINIB,BINIMETINIB,0.8413
SELUMETINIB,SELUMETINIB SULFATE,0.9365
GILTERITINIB,GILTERITINIB FUMARATE,0.92
MITOXANTRONE,MITOXANTRONE HYDROCHLORIDE,0.9677
CI-1040,MEK INHIBITOR CI-1040,1.0
BUPARLISIB HYDROCHLORIDE,BUPARLISIB,0.9778
BUPARLISIB HYDROCHLORIDE,BIMIRALISIB,0.7
MILADEMETAN,MILADEMETAN TOSYLATE,0.8659
PALBOCICLIB,DALPICICLIB,0.7571
GW843682X,GW852849X,0.7656
GW843682X,COMPOUND 2 [PMID: 19097784],0.8548
SRT-1720,SRT1720,0.9839
X-396,ENSARTINIB,0.7671
Y27632,Y-27632,1.0
PHENYLEPHRINE,PHENYLEPHRINE BITARTRATE,0.7941
PHENYLEPHRINE,PHENYLEPHRINE HYDROCHLORIDE,0.9643
METHYLPREDNISOLONE SODIUM SUCCINATE,METHYLPREDNISOLONE,0.7015
METHYLPREDNISOLONE SODIUM SUCCINATE,METHYLPREDNISOLONE ACETATE,0.7761
METHYLPREDNISOLONE SODIUM SUCCINATE,PREDNISOLONE SODIUM SUCCINATE,0.7465
PACLITAXEL,DOCETAXEL ANHYDROUS,0.7677
PACLITAXEL,CABAZITAXEL,0.7115
PACLITAXEL,PACLITAXEL DOCOSAHEXAENOIC ACID,0.75
PACLITAXEL,NAB-PACLITAXEL,1.0
PACLITAXEL,LAROTAXEL,0.7184
PACLITAXEL,PACLITAXEL POLIGLUMEX,0.8776
PACLITAXEL,BMS-275183,0.7282
PACLITAXEL,TAXOL C,0.8367
PACLITAXEL,BMS-184476,0.8182
PACLITAXEL,BMS-188797,0.9333
PACLITAXEL,DHA-PACLITAXEL,0.75
EVEROLIMUS,SIROLIMUS,0.8879
EVEROLIMUS,RIDAFOROLIMUS,0.8584
EVEROLIMUS,TEMSIROLIMUS,0.8596
EVEROLIMUS,ZOTAROLIMUS,0.7917
EVEROLIMUS,SIROLIMUS ALBUMIN-BOUND NANOPARTICLES,0.8879
EVEROLIMUS,TAFA-93,0.7731
CLINDAMYCIN HYDROCHLORIDE,CLINDAMYCIN,0.9811
CLINDAMYCIN HYDROCHLORIDE,LINCOMYCIN,0.8393
CLINDAMYCIN HYDROCHLORIDE,LINCOMYCIN HYDROCHLORIDE,0.8571
TYRPHOSTIN A9,AG 1024,0.7879
DESIPRAMINE,DESIPRAMINE HYDROCHLORIDE,0.9667
PRAZOSIN HYDROCHLORIDE,PRAZOSIN,0.9808
DEXAMETHASONE,TRIAMCINOLONE,0.8596
DEXAMETHASONE,DEXAMETHASONE ACETATE,0.7937
DEXAMETHASONE,BECLOMETHASONE,0.7705
DEXAMETHASONE,DEXAMETHASONE PALMITATE,0.7286
DEXAMETHASONE,BETAMETHASONE,1.0
DEXAMETHASONE,CLOBETASOL,0.8475
DEXAMETHASONE,DEXAMETHASONE VALARATE,0.7101
DEXAMETHASONE,BETAMETHASONE SODIUM PHOSPHATE,0.7576
DEXAMETHASONE,DEXAMETHASONE SODIUM PHOSPHATE,0.7576
DEXAMETHASONE,BETAMETHASONE VALERATE,0.7101
DEXAMETHASONE,BETAMETHASONE ACETATE,0.7937
AZD6538,AZD9272,0.8605
TARENFLURBIL,ESFLURBIPROFEN,1.0
TARENFLURBIL,FLURBIPROFEN,1.0
TARENFLURBIL,FLURBIPROFEN SODIUM,0.7568
CHELERYTHRINE,CHELERYTHRINE CHLORIDE,0.9762
CHELERYTHRINE,NITIDINE CHLORIDE,0.7083
"INSULIN, REGULAR, HUMAN",INSULIN LISPRO PROTAMINE RECOMBINANT,0.9744
"INSULIN, REGULAR, HUMAN","INSULIN ASPART PROTAMINE, HUMAN",0.9744
"INSULIN, REGULAR, HUMAN","INSULIN GLULISINE, HUMAN",0.9744
"INSULIN, REGULAR, HUMAN",INSULIN TREGOPIL,0.9497
"INSULIN, REGULAR, HUMAN",INSULIN ZINC SUSP EXTENDED BEEF,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN ZINC SUSP PROMPT BEEF,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN ZINC SUSP PURIFIED BEEF/PORK,0.9744
"INSULIN, REGULAR, HUMAN",DESIRUDIN,0.7123
"INSULIN, REGULAR, HUMAN","INSULIN [INJECTION], BIPHASIC",0.9744
"INSULIN, REGULAR, HUMAN","INSULIN, ISOPHANE",0.896
"INSULIN, REGULAR, HUMAN","INSULIN HUMAN, ISOPHANE",0.9744
"INSULIN, REGULAR, HUMAN",INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN SUSP ISOPHANE BEEF/PORK,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN ZINC SUSP PURIFIED BEEF,0.9744
"INSULIN, REGULAR, HUMAN",PEGMUSIRUDIN,0.7143
"INSULIN, REGULAR, HUMAN",INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN DETEMIR,0.9444
"INSULIN, REGULAR, HUMAN",INSULIN PURIFIED BEEF,0.8621
"INSULIN, REGULAR, HUMAN",INSULIN GLARGINE-YFGN,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN SUSP PROTAMINE ZINC BEEF/PORK,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN SUSP ISOPHANE PURIFIED BEEF,0.9744
"INSULIN, REGULAR, HUMAN",INSULIN PEGLISPRO,0.9744
