gene_1,gene_2,score
ARF5,COPA,718
ARF5,ARF1,862
ARF5,CDKN2A,760
ARF5,AGAP1,702
M6PR,PLIN3,872
FKBP4,NR3C2,945
FKBP4,FKBP5,972
FKBP4,SERPINB2,712
FKBP4,HSPA8,942
FKBP4,FAP,983
FKBP4,HSF1,783
FKBP4,MTOR,961
FKBP4,AKT1,914
FKBP4,PTGES3,990
FKBP4,DNAJB1,957
FKBP4,PPID,937
FKBP4,HSP90AB1,999
FKBP4,HSPA4,998
FKBP4,CDC37,859
FKBP4,NR3C1,996
FKBP4,HSP90AA1,999
FKBP4,PGR,977
FKBP4,AHSA1,973
FKBP4,CLCA1,745
FKBP4,ASL,849
FKBP4,HSPA1B,771
FKBP4,ESR1,893
FKBP4,AR,928
FKBP4,CHUK,801
CYP26B1,CYP2C9,938
CYP26B1,CYP3A7,936
CYP26B1,CYP3A5,935
CYP26B1,CRABP1,750
CYP26B1,CYP2C8,940
CYP26B1,ALDH1A1,964
CYP26B1,CYP26A1,919
CYP26B1,CYP26C1,922
CYP26B1,CYP1A2,945
CYP26B1,CYP3A4,939
CYP26B1,CYP1A1,943
CYP26B1,AOX1,921
CYP26B1,CYP2C18,937
CYP26B1,CYP2A6,936
CYP26B1,UGT2B7,714
CYP26B1,CYP2B7P,936
CYP26B1,CYP4A11,926
CYP26B1,UGT2A1,702
CYP26B1,ALDH1A3,973
CYP26B1,ALDH1A2,988
CYP26B1,NOS2,956
CYP26B1,UGT1A6,706
CFTR,PRKACG,976
CFTR,CANX,936
CFTR,PRSS1,854
CFTR,SCNN1B,895
CFTR,SLC26A9,910
CFTR,HSPB1,780
CFTR,PRKAG3,901
CFTR,TJP1,964
CFTR,PRKACA,982
CFTR,SLC26A8,725
CFTR,PRSS2,707
CFTR,SLC26A3,888
CFTR,DNAJB1,825
CFTR,SLC12A2,816
CFTR,PRKAG1,922
CFTR,SCNN1G,886
CFTR,STAR,825
CFTR,PRKAB2,944
CFTR,HSPA8,986
CFTR,ABCG2,733
CFTR,GUCA2B,769
CFTR,AHSA1,867
CFTR,PRKAB1,908
CFTR,HSP90AA1,986
CFTR,KCNJ1,925
CFTR,GUCA2A,805
CFTR,FLNA,957
CFTR,PRKAG2,905
CFTR,YWHAG,914
CFTR,ANO1,882
CFTR,SCNN1A,821
CFTR,PRKAA1,953
CFTR,PRKACB,976
CFTR,HSPA4,925
CFTR,VCP,938
CFTR,HSP90AB1,964
CFTR,PRKAA2,907
CFTR,AMFR,734
CFTR,NEDD4L,764
CFTR,EZR,898
CFTR,KRT18,702
CFTR,ACTB,717
CFTR,HDAC6,848
CFTR,CLCA1,838
CFTR,SLC9A3,828
CYP51A1,DHCR24,992
CYP51A1,CYB5R3,782
CYP51A1,SIGMAR1,985
CYP51A1,MVK,782
CYP51A1,HSD3B1,846
CYP51A1,POR,960
CYP51A1,FDPS,886
CYP51A1,EGR2,755
CYP51A1,HSD3B7,844
CYP51A1,FDFT1,997
CYP51A1,HSD3B2,820
CYP51A1,SREBF1,772
CYP51A1,PGRMC1,867
CYP51A1,DHCR7,978
CYP51A1,HMGCS2,921
CYP51A1,CYB5A,764
CYP51A1,PPIG,891
CYP51A1,SQLE,998
CYP51A1,ACAT2,732
CYP51A1,HMGCR,948
HSPB6,TSG101,709
HSPB6,HSPB1,902
HSPB6,DNAJB1,776
HSPB6,HSP90AA1,783
HSPB6,HSP90AB1,783
HSPB6,HSPA4,842
